"","station_code","stations","line","line_code","line_number","join_station","is_interchange","is_above_ground","operator","commencement","n_stations","length","cost","cost_per_km","n_lines"
"129","NS13","Yishun","North South Line","NSL",13,"yishun",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"130","NS14","Khatib","North South Line","NSL",14,"khatib",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"131","NS15","Yio Chu Kang","North South Line","NSL",15,"yiochukang",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"132","NS16","Ang Mo Kio","North South Line","NSL",16,"angmokio",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"133","NS17","Bishan","North South Line","NSL",17,"bishan",1,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,2
"134","NS18","Braddell","North South Line","NSL",18,"braddell",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"135","NS19","Toa Payoh","North South Line","NSL",19,"toapayoh",0,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"136","NS20","Novena","North South Line","NSL",20,"novena",0,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"137","NS21","Newton","North South Line","NSL",21,"newton",1,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,2
"138","NS22","Orchard","North South Line","NSL",22,"orchard",1,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,2
"139","NS23","Somerset","North South Line","NSL",23,"somerset",0,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"140","NS24","Dhoby Ghaut","North South Line","NSL",24,"dhobyghaut",1,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,3
"141","NS25","City Hall","North South Line","NSL",25,"cityhall",1,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,2
"142","NS26","Raffles Place","North South Line","NSL",26,"rafflesplace",1,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,2
"143","NS27","Marina Bay","North South Line","NSL",27,"marinabay",1,0,"SMRT Trains",1987-11-07,27,45,13.68,0.304,3
"144","NS28","Marina South Pier","North South Line","NSL",28,"marinasouthpier",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"145","TE1","Woodlands North","Thomson East Coast Line","TEL",1,"woodlandsnorth",0,0,"SMRT Trains",2020-01-31,27,40.6,28,0.689655172413793,1
"146","TE2","Woodlands","Thomson East Coast Line","TEL",2,"woodlands",1,0,"SMRT Trains",2020-01-31,27,40.6,28,0.689655172413793,2
